Name,SAL_CODE,geo
2267,7990487,"list(c(28.3530670231528, 28.3530750697798, 28.3530925041384, 28.3531005507655, 28.3531153029151, 28.353099209661, 28.3530777519889, 28.3530804341979, 28.3530670231528, -25.8165725121171, -25.8166075224397, -25.8166039006827, -25.8166244239711, -25.8166195949624, -25.8165447453021, -25.816548367061, -25.8165664758535, -25.8165725121171))"
2276,7990487,"list(c(28.3536611324496, 28.3536812490172, 28.3536839312262, 28.3537053888983, 28.3537053888983, 28.3536852723307, 28.3536839312262, 28.3536624735541, 28.3536611324496, -25.816542100725, -25.816544515231, -25.816514333903, -25.8165155411562, -25.8164974323559, -25.816495017849, -25.8164757017918, -25.8164744945382, -25.816542100725))"
2293,7990487,"list(c(28.3536843103674, 28.3536843103674, 28.3537620944288, 28.3537647766378, 28.3537446600702, 28.3537406367567, 28.3537138146665, 28.353712473562, 28.3536843103674, -25.8126165623584, -25.8126358790448, -25.8126431228015, -25.8126238061162, -25.8126213915303, -25.8126069040139, -25.8126020748414, -25.8126201842373, -25.8126165623584))"
2301,7990487,"list(c(28.3545037252214, 28.3545010430124, 28.3545171362665, 28.3545144540575, 28.3545037252214, -25.8124016640087, -25.8124161515501, -25.8124221880252, -25.8124064931893, -25.8124016640087))"
2316,7990487,"list(c(28.3560252927058, 28.3560145638698, 28.3561406276935, 28.3561607442611, 28.3560708902591, 28.3560655258411, 28.3560252927058, -25.8152388983749, -25.8152582146337, -25.8153065052671, -25.8152751163577, -25.8152413129074, -25.8152570073677, -25.8152388983749))"
2317,7990487,"list(c(28.3553601048702, 28.3553681514972, 28.3553909502738, 28.3553842447513, 28.3553601048702, -25.8152859817503, -25.8153040907359, -25.8152920180791, -25.8152787381553, -25.8152859817503))"
2327,7990487,"list(c(28.356505421896, 28.3565228562546, 28.3565590660763, 28.3565443139267, 28.356505421896, -25.8164498611653, -25.8164812497634, -25.8164655554654, -25.8164341668631, -25.8164498611653))"
2381,7990487,"list(c(28.3686958899596, 28.3686932077506, 28.3687964727977, 28.3688004961112, 28.3686958899596, -25.8332506477989, -25.833298931094, -25.8333049665045, -25.8332542690467, -25.8332506477989))"
2393,7990487,"list(c(28.3635941885508, 28.3636022351778, 28.363629057268, 28.3636236928499, 28.3635941885508, -25.8312594709533, -25.83133913972, -25.83133913972, -25.8312618851591, -25.8312594709533))"
2416,7990487,"list(c(28.3559062385582, 28.3559102618717, 28.3560095036053, 28.3560068213963, 28.3559062385582, -25.8259473686168, -25.8259678902858, -25.8259703045995, -25.825949782931, -25.8259473686168))"
2433,7990487,"list(c(28.3594373258273, 28.3594373258273, 28.359462806813, 28.3594668301265, 28.3594373258273, -25.828584520289, -25.8286062486308, -25.8286110771507, -25.8285917630701, -25.828584520289))"
2436,7990487,"list(c(28.353674066448, 28.3536834541796, 28.3536901597021, 28.353676748657, 28.353674066448, -25.8301681012707, -25.8301693083848, -25.8301548230153, -25.8301475803299, -25.8301681012707))"
2443,7990487,"list(c(28.3520512721062, 28.3520660242557, 28.3521612426758, 28.3521438083172, 28.3520512721062, -25.8307297010449, -25.8307635000735, -25.8307200441778, -25.8306910735718, -25.8307297010449))"
2451,7990487,"list(c(28.353423523247, 28.3534007244703, 28.3534503453371, 28.3534704619047, 28.353423523247, -25.8330407595525, -25.8330697295833, -25.8330974925229, -25.8330721437523, -25.8330407595525))"
2462,7990487,"list(c(28.3518345918002, 28.3518412973228, 28.3518077697101, 28.3518158163371, 28.3519217635932, 28.3519056703391, 28.3518345918002, -25.8335355200495, -25.8335475908461, -25.8335656970387, -25.8335801819907, -25.8335331058901, -25.8335017218126, -25.8335355200495))"
2464,7990487,"list(c(28.3517340089622, 28.3517420555892, 28.3517635132613, 28.3517541255298, 28.3517340089622, -25.8334920651717, -25.8335077572128, -25.8334993076524, -25.8334848226905, -25.8334920651717))"
2469,7990487,"list(c(28.3516668846953, 28.3516735902178, 28.3516923656809, 28.351708458935, 28.3517178466665, 28.3517124822485, 28.3516668846953, -25.8310155676291, -25.8310300528932, -25.8310264315774, -25.8310228102614, -25.8310071178909, -25.8309938397295, -25.8310155676291))"
2480,7990487,"list(c(28.3509997404637, 28.3510051048818, 28.3510225392404, 28.3510185159268, 28.3509997404637, -25.8332288519459, -25.8332433369392, -25.8332421298565, -25.8332264377802, -25.8332288519459))"
2491,7990487,"list(c(28.3497624004378, 28.3497637415423, 28.3497878814234, 28.3497825170054, 28.3497624004378, -25.8333263207947, -25.8333347703674, -25.8333347703674, -25.833323906631, -25.8333263207947))"
2500,7990487,"list(c(28.3495899733776, 28.3496248420948, 28.3495685157055, 28.3495309647793, 28.3495899733776, -25.8344206465415, -25.8344049546215, -25.8343059747704, -25.8343240808469, -25.8344206465415))"
2503,7990487,"list(c(28.3500446078056, 28.3500419255966, 28.3500848409409, 28.3500848409409, 28.3500446078056, -25.834879332515, -25.8349083020957, -25.8349107162271, -25.834880539581, -25.834879332515))"
2514,7990487,"list(c(28.3618025880617, 28.3617771070761, 28.3618267279429, 28.361853550033, 28.3618025880617, -25.8355067932156, -25.8356057720624, -25.8356178426478, -25.8355212779301, -25.8355067932156))"
2545,7990487,"list(c(28.3621528095936, 28.3621528095936, 28.3621823138928, 28.3621849961018, 28.3621528095936, -25.8328197413215, -25.8328378476254, -25.8328378476254, -25.8328221554955, -25.8328197413215))"
2551,7990487,"list(c(28.3614581174588, 28.3614715285038, 28.3615050561165, 28.361501032803, 28.3614581174588, -25.8325469393407, -25.8325614244174, -25.8325421109814, -25.8325312471722, -25.8325469393407))"
2574,7990487,"list(c(28.3733094383849, 28.373325531639, 28.3734019745959, 28.3733858813418, 28.3733094383849, -25.8513002198713, -25.8513122888554, -25.8512410818317, -25.8512290128403, -25.8513002198713))"
2575,7990487,"list(c(28.3734274555815, 28.3734395255221, 28.3734515954627, 28.3734408666266, 28.3734274555815, -25.8512000472561, -25.851210909351, -25.8512012541556, -25.8511891851602, -25.8512000472561))"
2580,7990487,"list(c(28.3697253920073, 28.3697146631713, 28.3698112226958, 28.3698192693229, 28.3697253920073, -25.8524862090513, -25.8525163812065, -25.8525453464683, -25.8525187949786, -25.8524862090513))"
2627,7600640,"list(c(27.7827183738545, 27.7827183738545, 27.7827331260041, 27.7827344671086, 27.7827183738545, -26.6962701427576, -26.6962833223366, -26.6962857186236, -26.6962713409012, -26.6962701427576))"
2631,5740050,"list(c(30.1722339120875, 30.1722500053416, 30.1722164777289, 30.1722017255793, 30.1722339120875, -28.1671667126449, -28.1671596189467, -28.1671111453294, -28.1671206035979, -28.1671667126449))"
2634,7980868,"list(c(27.9460829448057, 27.9461084257913, 27.9461500000311, 27.9461298834634, 27.9460829448057, -26.1340210974961, -26.1340319334801, -26.1339681215595, -26.1339548775716, -26.1340210974961))"
2665,7980868,"list(c(27.9453714795159, 27.9454117126512, 27.9454465813683, 27.9454050071286, 27.9453714795159, -26.1358867132529, -26.1359083848738, -26.1358818973366, -26.1358578177522, -26.1358867132529))"
2666,7980868,"list(c(27.9451823837804, 27.945205182557, 27.9452400512742, 27.9452185936021, 27.9451823837804, -26.1358241063256, -26.1358361461219, -26.1357783550882, -26.1357675192662, -26.1358241063256))"
2668,7980868,"list(c(27.9442551968175, 27.9442753133851, 27.9442860422212, 27.9442699489671, 27.9442551968175, -26.1365248204055, -26.1365344521849, -26.1365127806802, -26.136503148899, -26.1365248204055))"
2676,7980868,"list(c(27.9457514157716, 27.9457500746671, 27.9457916489068, 27.9457983544294, 27.9457514157716, -26.1374717933362, -26.1374946686253, -26.1374946686253, -26.1374705893734, -26.1374717933362))"
2684,7980868,"list(c(27.9472288686601, 27.9472141165105, 27.9472731251088, 27.9472865361539, 27.9472288686601, -26.137133029327, -26.1371522927846, -26.137184799862, -26.1371667403757, -26.137133029327))"
2711,7980868,"list(c(27.9490398867852, 27.9490331812626, 27.9490465923077, 27.9490532978302, 27.9490398867852, -26.1374399553951, -26.1374556069135, -26.1374628306905, -26.1374519950248, -26.1374399553951))"
2740,5991681,"list(c(30.829036734855, 30.8290716035722, 30.8291198833345, 30.8290876968263, 30.829036734855, -29.7613039859272, -29.7613412407692, -29.761313299639, -29.7612783732153, -29.7613039859272))"
2767,5991681,"list(c(30.824246966853, 30.8242509901665, 30.8243086576603, 30.8243032932423, 30.824246966853, -29.7629679036606, -29.762984202385, -29.762981873996, -29.7629632468817, -29.7629679036606))"
