Name,SAL_CODE,geo
3894,7983513,"list(c(27.9897099250461, 27.9897179716731, 27.9897742980624, 27.9897622281218, 27.9897099250461, -26.0261344072872, -26.026158509454, -26.0261428430462, -26.0261187408762, -26.0261344072872))"
3899,7983513,"list(c(27.9857201119902, 27.9857469340804, 27.9857925316336, 27.9857683917525, 27.9857201119902, -26.0269426762606, -26.0269993159544, -26.0269884700577, -26.0269282150578, -26.0269426762606))"
3906,7983513,"list(c(27.9839498540404, 27.983959241772, 27.9839874049666, 27.9839927693846, 27.9840249558928, 27.9840088626387, 27.9839498540404, -26.0276082635362, -26.0276323654002, -26.0276251348416, -26.0276456214233, -26.0276371857724, -26.0275938024155, -26.0276082635362))"
3911,7983513,"list(c(27.9843585158546, 27.9843692446907, 27.9843907023628, 27.9843772913177, 27.9843585158546, -26.0281412457267, -26.028171372919, -26.0281665525688, -26.0281352202873, -26.0281412457267))"
3914,7983513,"list(c(27.9850217040137, 27.9850324328498, 27.9851263101653, 27.9851128991203, 27.9850217040137, -26.0279960819023, -26.0280527210876, -26.0280346447548, -26.0279780055608, -26.0279960819023))"
3919,7983513,"list(c(27.9853328402595, 27.9853194292144, 27.9853770967082, 27.9853891666488, 27.9853328402595, -26.0278261641823, -26.0278454456381, -26.0278731627252, -26.0278574965463, -26.0278261641823))"
3922,7983513,"list(c(27.9860806995988, 27.9860941106438, 27.9861048394799, 27.9860941106438, 27.9860806995988, -26.0279723099338, -26.0279807455606, -26.0279662844857, -26.0279590539476, -26.0279723099338))"
3933,7983513,"list(c(27.9867622508241, 27.9867528630925, 27.9868118716908, 27.9868226005269, 27.9867622508241, -26.0290191276788, -26.0290396140172, -26.0290576901951, -26.0290396140172, -26.0290191276788))"
3940,7983513,"list(c(27.985886076987, 27.9858766892554, 27.985896805823, 27.9859075346591, 27.985886076987, -26.0296770519723, -26.0296903077643, -26.0297023584831, -26.0296878976204, -26.0296770519723))"
3941,7983513,"list(c(27.9852872616217, 27.9852899438307, 27.9853502935335, 27.9853476113245, 27.9852872616217, -26.0304060965522, -26.0304506839334, -26.0304458636768, -26.030403686423, -26.0304060965522))"
3942,7983513,"list(c(27.9871527379915, 27.98714335026, 27.987243933098, 27.9872533208296, 27.9871527379915, -26.030670812394, -26.030691298444, -26.030737090778, -26.030716604736, -26.030670812394))"
3945,7983513,"list(c(27.9840629992383, 27.9840629992383, 27.9841193256277, 27.9841220078367, 27.9840817747014, 27.9840817747014, 27.9840629992383, -26.0300412332334, -26.0300617193932, -26.0300568991207, -26.030025567344, -26.0300219521384, -26.03004364337, -26.0300412332334))"
3987,7983126,"list(c(27.8087022154818, 27.8086981921682, 27.808739766408, 27.808742448617, 27.8087022154818, -26.2774746783244, -26.2774963236015, -26.277498728632, -26.2774794883863, -26.2774746783244))"
3993,7620068,"list(c(28.3271133309094, 28.3271026020734, 28.327128083059, 28.3271388118951, 28.3271133309094, -26.5548405552587, -26.554851351903, -26.5548705459348, -26.5548621485462, -26.5548405552587))"
3999,7970321,"list(c(28.2958379217649, 28.295848650601, 28.2958701082731, 28.2958607205416, 28.2958379217649, -26.1575458534032, -26.1575663172473, -26.157557890959, -26.1575398346248, -26.1575458534032))"
4000,7970321,"list(c(28.2958271929289, 28.2958365806604, 28.2958620616461, 28.295848650601, 28.2958271929289, -26.1575229820437, -26.1575446496475, -26.1575350196019, -26.1575169632642, -26.1575229820437))"
4004,7970321,"list(c(28.29439174092, 28.2943877176064, 28.2944373384732, 28.2944386795777, 28.29439174092, -26.1581779640804, -26.1582092615533, -26.1582164840459, -26.1581851865749, -26.1581779640804))"
4016,7970321,"list(c(28.2950006023664, 28.2950126723069, 28.2950488821286, 28.2950381532926, 28.2950006023664, -26.1577072972249, -26.1577265572869, -26.1577109084868, -26.1576928521763, -26.1577072972249))"
4017,7970321,"list(c(28.2958257425469, 28.2958378124875, 28.2958512235326, 28.295839153592, 28.2958257425469, -26.1573353366531, -26.1573545967765, -26.1573485779883, -26.1573317253795, -26.1573353366531))"
4022,7970321,"list(c(28.2963021389867, 28.2963289610769, 28.296342372122, 28.2963155500318, 28.2963021389867, -26.1571746904104, -26.1572336746097, -26.1572252482973, -26.1571674678534, -26.1571746904104))"
4032,7970321,"list(c(28.2966388984331, 28.2966442628511, 28.2966871781953, 28.2966791315683, 28.2966388984331, -26.1564293648948, -26.1564498289348, -26.1564450138669, -26.1564269573605, -26.1564293648948))"
4036,7970321,"list(c(28.2960474713453, 28.2960555179723, 28.2961037977346, 28.296091727794, 28.2960474713453, -26.1561700514672, -26.1561917193223, -26.1561748665465, -26.1561568099983, -26.1561700514672))"
4053,7970321,"list(c(28.2944538987685, 28.2944619453955, 28.2945182717848, 28.2945048607398, 28.2944538987685, -26.1570911492845, -26.1571128169685, -26.1570887417638, -26.1570670740753, -26.1570911492845))"
4060,7970321,"list(c(28.2945652104426, 28.2945745981741, 28.294629583459, 28.2946175135184, 28.2945652104426, -26.1572608793682, -26.1572813432623, -26.1572620831268, -26.1572404154705, -26.1572608793682))"
4065,7970321,"list(c(28.2953758840586, 28.2953879539992, 28.2954295282389, 28.2954161171938, 28.2953758840586, -26.1570376035321, -26.1570532524226, -26.1570327884885, -26.1570135283119, -26.1570376035321))"
4069,7970321,"list(c(28.2955113356138, 28.2955368165995, 28.2955824141527, 28.2955609564806, 28.2955113356138, -26.1568979671857, -26.1569364875738, -26.1569172273813, -26.1568787069868, -26.1568979671857))"
4073,7970321,"list(c(28.2960142498041, 28.2960129086996, 28.2960571651484, 28.2960585062529, 28.2960142498041, -26.1569521364779, -26.1569738041877, -26.1569858418025, -26.1569641740949, -26.1569521364779))"
4076,7970321,"list(c(28.2959632878329, 28.2959606056238, 28.2959860866095, 28.295990109923, 28.2959632878329, -26.1568883370866, -26.1569075972839, -26.1569124123327, -26.1568943558986, -26.1568883370866))"
4085,7970321,"list(c(28.2969078801814, 28.2969119034949, 28.2969548188392, 28.2969548188392, 28.2969078801814, -26.1552386779947, -26.155256734685, -26.1552579384643, -26.1552398817741, -26.1552386779947))"
