SAL_CODE,african,coloured,indian,white,other
2660040,423,135,3,0,0
2660043,147,417,0,0,0
2660045,432,138,0,0,3
2660054,546,84,0,0,3
2660060,462,144,12,30,9
2660069,153,564,0,0,21
2660072,654,117,0,0,12
2660078,318,567,0,0,15
2670025,24,447,0,0,6
2670032,30,552,3,0,0
2670001,39,36,3,39,3
2670002,3,123,0,27,0
2670003,6,111,0,54,0
2670004,18,135,0,21,0
2670005,9,117,3,54,0
2670006,12,135,0,45,0
2670007,9,168,0,24,0
2670008,24,135,0,84,3
2670009,24,195,0,33,0
2670010,27,201,0,39,0
2670011,75,147,0,45,3
2670012,51,186,0,33,6
2670013,24,180,3,75,0
2670019,48,324,0,15,0
2670020,12,351,0,39,0
2670021,3,327,0,78,0
2670041,15,897,0,102,6
2670023,21,432,3,0,3
2670024,57,411,0,0,0
2670027,228,300,0,0,0
2670028,93,441,0,0,3
2670030,27,534,0,0,6
2670031,6,567,0,3,3
2670035,33,585,0,0,6
2670036,24,600,6,0,0
2670029,36,516,0,0,0
2670038,63,642,0,3,3
2670039,36,684,0,0,0
2670014,39,174,0,93,6
2670017,3,369,0,0,3
2670034,93,381,3,126,6
2670026,15,462,0,3,3
2670033,33,567,6,0,0
2670040,36,492,0,204,12
2670015,69,276,0,0,3
2670016,18,333,0,3,0
2670018,192,186,3,0,0
2670022,324,111,0,0,6
2670037,228,429,0,0,3
2680071,240,336,0,0,15
2680082,363,282,0,0,0
2680101,267,468,0,0,6
2680113,243,522,3,0,30
2680115,591,186,3,6,27
2680129,357,579,0,12,9
2680014,6,51,0,201,0
2680045,27,216,0,207,12
2680010,87,33,0,39,0
2680012,9,126,0,57,0
2680021,123,111,0,93,0
2680022,165,69,0,90,3
2680060,372,99,0,66,0
2680088,114,486,6,78,0
2680095,492,126,3,99,0
2680134,531,282,0,156,3
2680139,264,306,0,486,0
2680142,477,582,0,309,0
2680144,408,768,6,279,3
2680147,408,1806,12,96,3
2680149,1251,2298,0,330,33
2680005,3,33,0,12,0
2680004,15,18,0,6,0
2680007,9,75,0,18,6
2680008,21,105,0,9,3
2680042,27,192,9,207,3
2680094,207,513,0,0,0
2680105,231,525,0,0,0
2680111,261,519,3,0,9
2680126,282,612,3,0,0
2680136,348,645,0,3,0
2680078,573,42,0,0,0
2680096,567,147,0,0,6
2680104,678,63,0,0,12
2680107,687,60,0,0,15
2680097,9,717,0,0,0
2680100,54,678,3,0,0
2680121,39,819,0,15,12
2680057,405,117,0,0,3
2680058,414,117,0,0,0
2680065,513,51,0,0,0
2680119,378,453,6,6,15
2680131,186,759,15,0,6
2680132,492,435,3,39,3
2680011,54,90,0,42,9
2680031,324,42,0,0,0
2680073,300,306,3,0,0
2680084,225,420,0,0,9
2680081,192,447,0,3,0
2680009,3,3,0,147,3
2680006,18,48,0,3,3
2680080,15,600,0,0,6
2680083,12,639,3,3,0
2680099,36,696,0,0,3
2680033,90,288,0,0,0
2680063,66,486,0,0,0
2680067,15,549,0,0,15
2680076,9,597,6,0,3
2680085,39,615,0,0,0
2680087,144,525,6,3,0
2680093,33,672,6,0,0
2680098,108,615,6,6,3
2680102,75,663,6,0,0
2680103,87,660,0,0,6
2680108,60,687,6,0,6
2680109,243,513,6,6,3
2680110,90,684,3,0,0
2680114,165,633,0,0,3
2680120,159,714,6,0,0
2680125,36,858,0,0,0
2680127,42,855,0,0,0
2680128,21,879,3,0,3
2680146,240,1593,9,6,9
2680018,51,114,3,138,3
2680037,57,30,0,303,0
2680039,48,60,0,285,3
2680047,69,165,6,222,0
2680091,189,63,9,420,24
2680117,132,102,3,546,48
2680016,288,6,3,0,3
2680019,318,0,0,0,0
2680024,309,15,0,0,9
2680032,372,3,0,0,0
2680041,411,18,3,0,0
2680043,441,3,0,0,0
2680046,456,3,0,0,0
2680050,477,9,0,0,3
2680052,501,3,0,3,0
2680055,507,6,0,0,0
2680056,498,18,0,0,0
2680066,573,0,0,0,0
2680069,567,12,0,0,6
2680074,591,12,0,0,3
2680079,606,9,0,0,6
2680089,684,12,0,0,0
2680140,1080,18,0,0,0
2680023,9,207,0,114,3
2680053,3,3,0,495,0
2680059,39,6,3,483,0
2680017,15,3,0,282,0
2680020,15,21,0,267,21
2680025,27,15,3,282,12
2680027,9,18,0,309,6
2680035,15,6,0,360,0
2680044,18,12,0,417,3
2680090,21,18,0,657,6
2680106,60,18,6,672,3
2680002,3,0,0,24,0
2680040,90,27,0,288,3
2680048,42,15,0,399,6
2680072,36,36,6,522,3
2680141,1062,165,3,0,9
2680143,1356,18,0,0,9
2680145,1218,336,3,0,9
2680148,1785,534,0,0,21
2680028,18,3,6,324,0
2680029,21,18,0,318,6
2680051,15,12,0,474,0
2680061,15,9,0,513,6
2680068,27,30,0,519,3
2680013,18,6,0,180,0
2680030,96,57,0,213,0
2680054,24,15,0,465,0
2680062,57,27,0,465,0
2680015,228,30,0,0,0
2680064,87,462,3,3,3
2680070,300,282,0,3,6
2680077,180,405,0,24,6
2680092,573,129,0,0,9
2680123,135,744,3,0,3
2680124,528,348,0,0,12
2680133,66,900,3,0,3
2680135,828,144,0,0,24
2680137,783,222,0,0,3
2680138,225,777,6,9,0
2680034,45,45,3,288,0
2680112,24,21,0,744,3
2680049,30,3,0,435,3
2680003,0,0,0,39,0
2680038,36,21,0,336,3
2680036,300,87,0,0,0
2680075,309,291,0,0,9
2680116,744,69,0,3,9
2680118,567,225,3,42,12
2680122,516,363,0,3,3
2680130,51,12,6,885,3
2680001,3,0,0,24,0
2680086,279,270,0,120,3
2680026,12,6,0,324,0
2690023,168,237,3,3,6
2690002,3,12,0,3,0
2690007,30,72,0,63,0
2690008,15,90,0,75,0
2690013,0,234,0,63,0
2690015,42,138,0,129,24
2690018,66,210,0,78,6
2690065,126,687,0,177,99
2690066,1068,207,3,105,3
2690067,159,900,6,330,33
2690068,597,717,3,231,0
2690069,417,1533,18,183,12
2690070,822,1290,3,81,30
2690027,69,234,0,171,0
2690001,12,3,0,3,0
2690010,96,57,0,78,0
2690009,42,111,0,45,0
2690004,9,15,0,36,0
2690011,237,3,0,0,0
2690029,81,396,0,0,6
2690035,120,390,0,0,12
2690036,81,468,0,0,3
2690043,318,252,0,0,9
2690053,150,516,3,0,9
2690063,66,711,3,0,3
2690064,252,585,0,0,9
2690006,18,81,0,48,3
2690033,42,327,6,126,9
2690048,162,471,3,3,6
2690060,48,711,15,0,0
2690017,18,108,0,219,12
2690020,24,69,9,276,0
2690044,81,516,0,18,3
2690047,54,591,3,0,3
2690055,348,333,3,3,3
2690056,84,642,0,0,3
2690059,228,543,0,0,0
2690061,45,717,3,3,6
2690062,75,702,0,0,0
2690031,21,459,3,0,3
2690034,87,420,0,0,0
2690019,288,78,0,0,6
2690025,303,117,3,3,0
2690014,201,117,0,0,0
2690032,108,396,0,0,0
2690030,192,282,0,0,9
2690038,189,363,0,9,3
2690049,57,117,0,465,12
2690050,186,462,3,0,12
2690024,177,237,0,0,0
2690028,177,303,0,3,0
2690058,192,489,0,66,9
2690026,261,207,0,0,3
2690037,201,351,3,0,3
2690046,255,261,0,126,3
2690005,15,33,0,42,0
2690051,9,642,12,0,0
2690039,282,285,0,0,0
2690042,285,273,0,0,21
2690045,480,126,0,0,12
2690054,468,210,0,0,3
2690012,27,198,0,48,6
2690003,12,12,0,9,0
2690040,348,219,0,0,0
2690041,267,300,0,3,3
2690057,306,423,0,3,9
2690016,246,96,0,0,0
2690021,54,339,0,0,6
2690022,282,126,0,0,3
2690052,153,501,0,0,9
2700030,60,0,0,0,0
2700001,12,0,0,0,0
2700003,9,0,3,0,0
2700004,12,0,0,0,0
2700005,12,0,0,0,0
2700007,15,0,0,0,0
2700008,18,0,0,0,0
2700009,24,0,0,0,0
2700010,24,0,0,0,0
2700013,24,0,0,0,0
2700015,27,0,0,0,0
2700016,30,0,0,0,0
2700022,36,0,0,0,0
2700023,36,0,0,0,0
2700024,39,0,0,0,0
2700026,45,0,0,0,0
2700029,51,0,0,0,0
2700031,60,0,0,0,0
2700042,72,0,0,0,0
2700044,72,0,0,0,0
2700058,84,0,0,0,0
2700077,105,0,3,0,0
2700171,171,0,0,0,0
2700378,288,0,0,0,0
2700454,348,0,0,0,0
2700422,318,0,0,0,0
2700048,78,0,0,0,0
2700629,507,0,0,0,0
2700243,207,0,0,0,0
2700426,324,0,0,0,0
2700461,354,0,0,0,0
