SAL_CODE,geoType,geoTypeNum,areaType,areaTypeNum
6770554,urban,1,residen_formal,1
6770555,urban,1,residen_formal,1
6770556,urban,1,residen_formal,1
6770557,urban,1,residen_formal,1
6770558,urban,1,residen_formal,1
6770559,urban,1,residen_formal,1
6770560,urban,1,NA,NA
6770561,urban,1,residen_formal,1
6770562,urban,1,residen_formal,1
6770563,urban,1,residen_formal,1
6770564,urban,1,residen_formal,1
6770565,urban,1,residen_formal,1
6770566,urban,1,residen_formal,1
6770567,urban,1,residen_formal,1
6770568,urban,1,residen_formal,1
6770569,urban,1,residen_formal,1
6770570,urban,1,residen_formal,1
6770571,urban,1,residen_formal,1
6770572,urban,1,residen_formal,1
6770573,urban,1,residen_formal,1
6770574,urban,1,residen_formal,1
6770575,urban,1,residen_formal,1
6770576,urban,1,residen_formal,1
6770577,urban,1,residen_formal,1
6770578,urban,1,residen_formal,1
6770579,urban,1,residen_formal,1
6770580,urban,1,residen_formal,1
6770581,urban,1,residen_formal,1
6770582,urban,1,residen_formal,1
6770583,urban,1,residen_formal,1
6770584,urban,1,residen_formal,1
6770585,urban,1,residen_formal,1
6770586,urban,1,NA,NA
6770587,urban,1,residen_formal,1
6770588,urban,1,residen_formal,1
6770589,urban,1,residen_formal,1
6770590,urban,1,residen_formal,1
6770591,urban,1,residen_formal,1
6770592,urban,1,residen_formal,1
6770593,urban,1,residen_formal,1
6770594,urban,1,residen_formal,1
6770595,urban,1,residen_formal,1
6770596,urban,1,residen_formal,1
6770597,urban,1,residen_formal,1
6770598,urban,1,residen_formal,1
6770599,urban,1,residen_formal,1
6770600,urban,1,residen_formal,1
6770601,urban,1,residen_formal,1
6770602,urban,1,residen_formal,1
6770603,urban,1,residen_formal,1
6770604,urban,1,residen_formal,1
6770605,urban,1,residen_formal,1
6770606,urban,1,residen_formal,1
6770607,urban,1,residen_formal,1
6770608,urban,1,residen_formal,1
6770609,urban,1,residen_formal,1
6770610,urban,1,residen_formal,1
6770611,urban,1,residen_formal,1
6770612,urban,1,residen_formal,1
6770613,urban,1,residen_formal,1
6770614,urban,1,residen_formal,1
6770615,urban,1,residen_formal,1
6770616,urban,1,residen_formal,1
6770617,urban,1,residen_formal,1
6770618,urban,1,residen_formal,1
6770619,urban,1,residen_formal,1
6770620,urban,1,residen_formal,1
6770622,urban,1,residen_formal,1
6770623,urban,1,residen_formal,1
6770624,urban,1,residen_formal,1
6770625,urban,1,residen_formal,1
6770626,urban,1,residen_formal,1
6770627,urban,1,residen_formal,1
6770628,urban,1,residen_formal,1
6770629,urban,1,residen_formal,1
6770630,urban,1,residen_formal,1
6770631,urban,1,residen_formal,1
6770632,urban,1,residen_formal,1
6770633,urban,1,residen_formal,1
6770634,urban,1,residen_formal,1
6770635,urban,1,residen_formal,1
6770636,urban,1,residen_formal,1
6770637,urban,1,residen_formal,1
6770638,urban,1,residen_formal,1
6770639,urban,1,residen_formal,1
6770640,urban,1,residen_formal,1
